sucursal,producto,semana,y_real,probabilidad,magnitud,umbral,y_pred,Modelo
14,ENALAPRIL 10MG,2026-01-18,0.0,0.104990505,1.1934738,0.5,0.0,TwoStage
14,IBUPROFENO TABX800,2026-01-18,0.0,0.012120696,1.2971951,0.5,0.0,TwoStage
14,METFORMINA 850MG,2026-01-18,0.0,0.17809558,1.3203336,0.5,0.0,TwoStage
14,VITAMINA C+ZINC+D3,2026-01-18,0.0,0.5151129,1.9216822,0.5,1.9216822,TwoStage
15,AMOXICILINA 500MG,2026-01-18,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
15,AZITROMICINA 500MG,2026-01-18,0.0,0.023656232,1.2971951,0.5,0.0,TwoStage
15,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014772549,1.2971951,0.5,0.0,TwoStage
15,ENALAPRIL 10MG,2026-01-18,0.0,0.16316088,1.1934738,0.5,0.0,TwoStage
15,IBUPROFENO TABX800,2026-01-18,0.0,0.027747393,1.2971951,0.5,0.0,TwoStage
15,METFORMINA 850MG,2026-01-18,0.0,0.051073838,1.3203336,0.5,0.0,TwoStage
15,PARACETAMOL 500MG,2026-01-18,0.0,0.029879782,1.2971951,0.5,0.0,TwoStage
15,VITAMINA C+ZINC+D3,2026-01-18,1.0,0.58006585,1.9940623,0.5,1.9940623,TwoStage
16,AMOXICILINA 500MG,2026-01-18,0.0,0.029879782,1.397539,0.5,0.0,TwoStage
16,AZITROMICINA 500MG,2026-01-18,0.0,0.023656232,1.397539,0.5,0.0,TwoStage
16,DIMENHIDRINATO 50MG,2026-01-18,0.0,0.014772549,1.397539,0.5,0.0,TwoStage
16,ENALAPRIL 10MG,2026-01-18,0.0,0.11866769,1.2938178,0.5,0.0,TwoStage
16,IBUPROFENO TABX800,2026-01-18,0.0,0.012120696,1.397539,0.5,0.0,TwoStage
16,LOPERAMIDA 2MG,2026-01-18,0.0,0.015448096,1.397539,0.5,0.0,TwoStage
16,METFORMINA 850MG,2026-01-18,0.0,0.10017464,1.4206775,0.5,0.0,TwoStage
